Date,Taux de ponctualité
2013-01-01,83.6
2013-02-01,86.2
2013-03-01,84.0
2013-04-01,83.3
2013-05-01,86.4
2013-06-01,83.4
2013-07-01,83.2
2013-08-01,88.9
2013-09-01,83.3
2013-10-01,83.1
2013-11-01,80.9
2013-12-01,81.2
2014-01-01,81.1
2014-02-01,85.7
2014-03-01,83.3
2014-04-01,85.7
2014-05-01,87.6
2014-06-01,72.6
2014-07-01,70.5
2014-08-01,81.2
2014-09-01,70.9
2014-10-01,68.8
2014-11-01,69.8
2014-12-01,67.3
2015-01-01,74.5
2015-02-01,73.1
2015-03-01,71.96
2015-04-01,71.98
2015-05-01,71.22
2015-06-01,71.15
2015-07-01,73.1
2015-08-01,83.0
2015-09-01,70.0
2015-10-01,65.83
2015-11-01,67.1
2015-12-01,70.16
2016-01-01,69.1
2016-02-01,71.7
2016-03-01,72.2
2016-04-01,72.6
2016-05-01,75.3
2016-06-01,70.7
2016-07-01,73.0
2016-08-01,82.3
2016-09-01,70.9
2016-10-01,70.6
2016-11-01,65.9
2016-12-01,66.7
2017-01-01,68.25
2017-02-01,69.35
2017-03-01,71.0
2017-04-01,73.9
2017-05-01,70.89
2017-06-01,69.95
2017-07-01,70.84
2017-08-01,88.09
2017-09-01,72.9
2017-10-01,69.9
2017-11-01,71.02
2017-12-01,77.1
2018-01-01,79.6
2018-02-01,77.4
2018-03-01,81.3
2018-04-01,80.8
2018-05-01,82.2
2018-06-01,80.0
2018-07-01,78.5
2018-08-01,91.8
2018-09-01,82.2
2018-10-01,80.85
2018-11-01,83.13
2018-12-01,84.2
2019-01-01,85.0
2019-02-01,86.9
2019-03-01,88.3
2019-04-01,89.4
2019-05-01,88.54
2019-06-01,86.69
2019-07-01,84.46
2019-08-01,94.06
2019-09-01,87.57
2019-10-01,85.82
2019-11-01,82.06
2020-02-01,83.01
2020-03-01,89.86
2020-06-01,83.84
2020-07-01,89.04
2020-08-01,85.83
2020-09-01,87.41
2020-10-01,82.49
2020-11-01,90.14
2020-12-01,88.74
2021-01-01,83.68
2021-02-01,80.02
2021-03-01,88.8
2021-04-01,94.7
2021-05-01,93.77
2021-06-01,90.05
2021-07-01,88.62
2021-08-01,91.15
2021-09-01,86.33
2021-10-01,86.59
2021-11-01,86.06
2021-12-01,88.99
2022-01-01,88.24
2022-02-01,92.5
2022-03-01,91.11
2022-04-01,91.15
2022-05-01,92.83
2022-06-01,83.84
2022-07-01,85.94
2022-08-01,93.63
2022-09-01,90.76
2022-10-01,87.27
2022-11-01,86.15
2022-12-01,82.58
2023-01-01,86.08
2023-02-01,87.68
2023-03-01,90.37
2023-04-01,89.79
2023-05-01,87.78
2023-06-01,86.61
2023-07-01,87.75
2023-08-01,92.14
2023-09-01,86.45
2023-10-01,84.2
2023-11-01,75.59
2023-12-01,86.26
2024-01-01,81.7
2024-02-01,89.43
2024-03-01,88.4
2024-04-01,86.03
2024-05-01,86.71
2024-06-01,89.94
2024-07-01,89.36
2024-08-01,91.35
2024-09-01,90.94
2024-10-01,85.93
2024-11-01,86.0
2024-12-01,87.57
2025-01-01,88.64
2025-02-01,92.06
2025-03-01,89.08
2025-04-01,89.55
2025-05-01,89.25
2025-06-01,80.94
2025-07-01,89.37
2025-08-01,94.75
2025-09-01,92.1
2025-10-01,88.73
2025-11-01,86.43
2025-12-01,87.19
