Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2013-01;RER;A;RER A;83,60;5,1
2013-01;RER;B;RER B;80,10;4
2013-01;RER;C;RER C;91,90;11,3
2013-01;RER;D;RER D;77,60;3,5
2013-01;RER;E;RER E;93,30;13,9
2013-01;Transilien;H;Paris Nord Ouest;93,90;15,4
2013-01;Transilien;J;Paris Saint-Lazare Nord;82,50;4,7
2013-01;Transilien;K;Paris Nord Crépy;75,20;3
2013-01;Transilien;L;Paris Saint-Lazare Sud;84,00;5,3
2013-01;Transilien;N;Paris Montparnasse;94,70;17,9
2013-01;Transilien;P;Paris Est;85,80;6
2013-01;Transilien;R;Paris Sud Est;87,20;6,8
2013-01;Transilien;U;La Verrière - La Défense;92,30;12
2013-02;RER;A;RER A;86,20;6,2
2013-02;RER;B;RER B;80,30;4,1
2013-02;RER;C;RER C;91,80;11,2
2013-02;RER;D;RER D;79,30;3,8
2013-02;RER;E;RER E;94,70;17,9
2013-02;Transilien;H;Paris Nord Ouest;92,70;12,7
2013-02;Transilien;J;Paris Saint-Lazare Nord;88,10;7,4
2013-02;Transilien;K;Paris Nord Crépy;75,20;3
2013-02;Transilien;L;Paris Saint-Lazare Sud;82,10;4,6
2013-02;Transilien;N;Paris Montparnasse;93,30;13,9
2013-02;Transilien;P;Paris Est;89,40;8,4
2013-02;Transilien;R;Paris Sud Est;88,20;7,5
2013-02;Transilien;U;La Verrière - La Défense;91,70;11
2013-03;RER;A;RER A;84,00;5,3
2013-03;RER;B;RER B;82,70;4,8
2013-03;RER;C;RER C;87,60;7,1
2013-03;RER;D;RER D;80,00;4
2013-03;RER;E;RER E;92,90;13,1
2013-03;Transilien;H;Paris Nord Ouest;92,30;12
2013-03;Transilien;J;Paris Saint-Lazare Nord;84,20;5,3
2013-03;Transilien;K;Paris Nord Crépy;77,30;3,4
2013-03;Transilien;L;Paris Saint-Lazare Sud;81,80;4,5
2013-03;Transilien;N;Paris Montparnasse;89,10;8,2
2013-03;Transilien;P;Paris Est;89,00;8,1
2013-03;Transilien;R;Paris Sud Est;89,20;8,3
2013-03;Transilien;U;La Verrière - La Défense;89,20;8,3
2013-04;RER;A;RER A;83,30;5
2013-04;RER;B;RER B;86,40;6,4
2013-04;RER;C;RER C;88,70;7,8
2013-04;RER;D;RER D;82,90;4,8
2013-04;RER;E;RER E;96,20;25,3
2013-04;Transilien;H;Paris Nord Ouest;94,60;17,5
2013-04;Transilien;J;Paris Saint-Lazare Nord;85,00;5,7
2013-04;Transilien;K;Paris Nord Crépy;82,00;4,6
2013-04;Transilien;L;Paris Saint-Lazare Sud;84,40;5,4
2013-04;Transilien;N;Paris Montparnasse;90,20;9,2
2013-04;Transilien;P;Paris Est;92,70;12,7
2013-04;Transilien;R;Paris Sud Est;89,30;8,3
2013-04;Transilien;U;La Verrière - La Défense;90,10;9,1
2013-05;RER;A;RER A;86,40;6,4
2013-05;RER;B;RER B;84,00;5,3
2013-05;RER;C;RER C;92,30;12
2013-05;RER;D;RER D;87,10;6,8
2013-05;RER;E;RER E;95,50;21,2
2013-05;Transilien;H;Paris Nord Ouest;95,90;23,4
2013-05;Transilien;J;Paris Saint-Lazare Nord;91,50;10,8
2013-05;Transilien;K;Paris Nord Crépy;81,30;4,3
2013-05;Transilien;L;Paris Saint-Lazare Sud;90,60;9,6
2013-05;Transilien;N;Paris Montparnasse;96,10;24,6
2013-05;Transilien;P;Paris Est;90,40;9,4
2013-05;Transilien;R;Paris Sud Est;93,00;13,3
2013-05;Transilien;U;La Verrière - La Défense;95,30;20,3
2013-06;RER;A;RER A;83,40;5
2013-06;RER;B;RER B;82,20;4,6
2013-06;RER;C;RER C;90,30;9,3
2013-06;RER;D;RER D;85,10;5,7
2013-06;RER;E;RER E;93,90;15,4
2013-06;Transilien;H;Paris Nord Ouest;94,10;15,9
2013-06;Transilien;J;Paris Saint-Lazare Nord;83,50;5,1
2013-06;Transilien;K;Paris Nord Crépy;71,90;2,6
2013-06;Transilien;L;Paris Saint-Lazare Sud;82,30;4,6
2013-06;Transilien;N;Paris Montparnasse;93,90;15,4
2013-06;Transilien;P;Paris Est;89,40;8,4
2013-06;Transilien;R;Paris Sud Est;89,50;8,5
2013-06;Transilien;U;La Verrière - La Défense;93,20;13,7
2013-07;RER;A;RER A;83,20;5
2013-07;RER;B;RER B;84,10;5,3
2013-07;RER;C;RER C;90,80;9,9
2013-07;RER;D;RER D;85,20;5,8
2013-07;RER;E;RER E;94,00;15,7
2013-07;Transilien;H;Paris Nord Ouest;94,40;16,9
2013-07;Transilien;J;Paris Saint-Lazare Nord;87,00;6,7
2013-07;Transilien;K;Paris Nord Crépy;85,10;5,7
2013-07;Transilien;L;Paris Saint-Lazare Sud;87,20;6,8
2013-07;Transilien;N;Paris Montparnasse;93,20;13,7
2013-07;Transilien;P;Paris Est;90,10;9,1
2013-07;Transilien;R;Paris Sud Est;88,50;7,7
2013-07;Transilien;U;La Verrière - La Défense;94,30;16,5
2013-08;RER;A;RER A;88,90;8
2013-08;RER;B;RER B;89,90;8,9
2013-08;RER;C;RER C;93,40;14,2
2013-08;RER;D;RER D;90,40;9,4
2013-08;RER;E;RER E;95,40;20,7
2013-08;Transilien;H;Paris Nord Ouest;95,40;20,7
2013-08;Transilien;J;Paris Saint-Lazare Nord;89,20;8,3
2013-08;Transilien;K;Paris Nord Crépy;88,30;7,5
2013-08;Transilien;L;Paris Saint-Lazare Sud;89,90;8,9
2013-08;Transilien;N;Paris Montparnasse;96,00;24
2013-08;Transilien;P;Paris Est;92,10;11,7
2013-08;Transilien;R;Paris Sud Est;92,00;11,5
2013-08;Transilien;U;La Verrière - La Défense;95,30;20,3
2013-09;RER;A;RER A;83,30;5
2013-09;RER;B;RER B;86,60;6,5
2013-09;RER;C;RER C;93,10;13,5
2013-09;RER;D;RER D;83,10;4,9
2013-09;RER;E;RER E;96,80;30,3
2013-09;Transilien;H;Paris Nord Ouest;95,40;20,7
2013-09;Transilien;J;Paris Saint-Lazare Nord;88,80;7,9
2013-09;Transilien;K;Paris Nord Crépy;86,00;6,1
2013-09;Transilien;L;Paris Saint-Lazare Sud;84,90;5,6
2013-09;Transilien;N;Paris Montparnasse;92,70;12,7
2013-09;Transilien;P;Paris Est;88,00;7,3
2013-09;Transilien;R;Paris Sud Est;89,60;8,6
2013-09;Transilien;U;La Verrière - La Défense;92,90;13,1
2013-10;RER;A;RER A;83,10;4,9
2013-10;RER;B;RER B;80,70;4,2
2013-10;RER;C;RER C;85,60;5,9
2013-10;RER;D;RER D;79,60;3,9
2013-10;RER;E;RER E;95,20;19,8
2013-10;Transilien;H;Paris Nord Ouest;94,20;16,2
2013-10;Transilien;J;Paris Saint-Lazare Nord;83,20;5
2013-10;Transilien;K;Paris Nord Crépy;81,20;4,3
2013-10;Transilien;L;Paris Saint-Lazare Sud;82,00;4,6
2013-10;Transilien;N;Paris Montparnasse;92,60;12,5
2013-10;Transilien;P;Paris Est;87,30;6,9
2013-10;Transilien;R;Paris Sud Est;89,40;8,4
2013-10;Transilien;U;La Verrière - La Défense;91,60;10,9
2013-11;RER;A;RER A;80,90;4,2
2013-11;RER;B;RER B;77,90;3,5
2013-11;RER;C;RER C;85,50;5,9
2013-11;RER;D;RER D;76,90;3,3
2013-11;RER;E;RER E;92,00;11,5
2013-11;Transilien;H;Paris Nord Ouest;93,10;13,5
2013-11;Transilien;J;Paris Saint-Lazare Nord;80,70;4,2
2013-11;Transilien;K;Paris Nord Crépy;77,70;3,5
2013-11;Transilien;L;Paris Saint-Lazare Sud;77,80;3,5
2013-11;Transilien;N;Paris Montparnasse;88,10;7,4
2013-11;Transilien;P;Paris Est;82,80;4,8
2013-11;Transilien;R;Paris Sud Est;82,50;4,7
2013-11;Transilien;U;La Verrière - La Défense;88,40;7,6
2013-12;RER;A;RER A;81,20;4,3
2013-12;RER;B;RER B;82,40;4,7
2013-12;RER;C;RER C;90,90;10
2013-12;RER;D;RER D;85,50;5,9
2013-12;RER;E;RER E;94,90;18,6
2013-12;Transilien;H;Paris Nord Ouest;94,70;17,9
2013-12;Transilien;J;Paris Saint-Lazare Nord;84,40;5,4
2013-12;Transilien;K;Paris Nord Crépy;83,10;4,9
2013-12;Transilien;L;Paris Saint-Lazare Sud;83,00;4,9
